TITLE,Added,Native 4K,Upscaled 4K,HDR,Dolby Vision,Audio
It's a Wonderful Life (1946),,Native 4K,,HDR10,Dolby Vision,Dolby True-HD 2.0 Mono
Jack Reacher,,,Upscaled 4K,HDR,Dolby Vision,7.1 DTS-HD-MA
Jack Reacher: Never Go Back,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Jack Ryan: Shadow Recruit,,,Upscaled 4K,HDR,Dolby Vision,7.1 DTS-HD-MA
Jason Bourne (2016),,Native 4K,,HDR10,,"DTS:X, 7.1 DTS-HD-MA"
Jaws (1975),,Native 4K,,HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Jerry Maguire (1996),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Jessica Jones,,Native 4K,,HDR,,
Jigsaw,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
John Wick (2014),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
John Wick: ​Chapter 2 (2017),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
John Wick: ​Chapter 3 - Parabellum (2019),,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Johnny English Strikes Again,,,Upscaled 4K,HDR,,"DTS: X, 7.1 DTS HD-MA"
Jojo Rabbit (2019),,,Upscaled 4K,HDR,,5.1 DTS-HD-MA
Joker (2020),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Journey to Space,,Native 4K,,HDR,,
Joy,,,Upscaled 4K,HDR,,5.1
Juice (1992),Jan 2022,Native 4K,,HDR10+,Dolby Vision,5.1 DTS-HD-MA
Jumanji (1995),,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Jumanji: The Next Level (2019),,,Upscaled 4K,HDR10,,"DTS: X, 7.1 DTS HD-MA"
Jumanji: Welcome To The Jungle (2017),,,Upscaled 4K,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Jungle Cruise (2021),Feb 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Jupiter Ascending,,,Upscaled 4K,HDR,,7.1
Jurassic Park (1993),,Native 4K,,HDR,,"DTS: X, 7.1 DTS HD-MA"
Jurassic Park III (2001),,Native 4K,,HDR,,"DTS: X, 7.1 DTS HD-MA"
Jurassic World (2015),,,Upscaled 4K,HDR,,"DTS: X, 7.1 DTS HD-MA"
Jurassic World: Fallen Kingdom,,,Upscaled 4K,HDR,Dolby Vision,DTS:X MA
Jurassic World: Dominion (2022),May 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Justice League (2017),,,Upscaled 4K,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Justice League Dark: Apokolips War (2020),Feb 2022,,Upscaled 4K,HDR10,,DTS-HD MA 5.1
Justice League vs the Fatal Five (2019),Feb 2022,,Upscaled 4K,HDR10,,DTS-HD MA 5.1
Justice Society: World War II (2021),Feb 2022,,Upscaled 4K,HDR10,,DTS-HD MA 5.1
Keanu,,,Upscaled 4K,,,
Keeping Up with the Joneses,,,Upscaled 4K,HDR,,
Kick-Ass (2010),,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
King Arthur: Legend of the Sword,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Kingsglaive: Final Fantasy XV (2016),,Native 4K,,HDR10,,DTS-HD MA 5.1
Kingsman: The Golden Circle,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Kingsman: The Secret Service,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
King Richard (2021),May 2022,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Knives Out (2019),,,Upscaled 4K,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Knowing,,,Upscaled 4K,HDR,,
Kong: Skull Island,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Krampus (2015),Jan 2022,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
La La Land (2016),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Labyrinth (1986),,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Lamb (2021),May 2022,Native 4K,,HDR10,Dolby Vision,DTS-HD MA 5.1
Last Action Hero (1993),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Last Night in Soho (2021),Feb 2022,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Lawrence of Arabia (1962),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Lazer Team,,,Upscaled 4K,HDR,,
Lemony Snicket’s A Series of Unfortunate Events,,Native 4K,,HDR,,
Leon: The Professional,,Native 4K,,,HDR,"Dolby Atmos, True-HD 7.1"
Let’s Be Cops,,Native 4K,,,,
Life,,Native In part,,HDR,HDR,Dolby Atmos True-HD
Lifeforce (1985),May 2022,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Life Of Pi,,,Upscaled 4K,HDR,,7.1 DTS-HD-MA
Lights Out,,,Upscaled 4K,HDR,,
Live By Night,,Native 4K,,HDR,,
Lock Up (1989),,Native 4K,,HDR10+,Dolby Vision,DTS-HD MA 5.1
Logan,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Logan Lucky,,Native 4K,,HDR,,
Lone Survivor,,,Upscaled 4K,HDR,,"DTS: X, 7.1 DTS HD-MA"
Longmire,,Native 4K,,,,
Looper (2012),Jan 2022,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Lord of the Rings Trilogy (2001-2003),April 2022,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Lost Highway (1997),Aug 2022,Native 4K,,HDR10,Dolby Vision,DTS-HD MA 5.1
Love,,Native 4K,,,,
Love and Monsters (2020),,,Upscaled 4K,HDR10,Dolby Vision,DTS-HD MA 7.1
Loving Vincent,,Native 4K,,,,
Luca (2021),Aug 2021,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Lucy,,Native 4K,,HDR,,5.1
Luke Cage,,Native 4K,,HDR,,
Lupin III: The Castle of Cagliostro (1979),,Native 4K,,HDR10,,DTS-HD Master Audio 2.0 Mono (English)
Madman (1981),May 2022,Native 4K,,HDR10,,DTS-HD Master Audio 2.0 Mono
Mad Dogs,,Native 4K,,HDR,,
Mad Max (1979),,Native 4K,,HDR10,Dolby Vision,DTS-HD MA 5.1
Mad Max Beyond Thunderdome (1985),May 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Mad Max: Fury Road (2015),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Mad Max: The Road Warrior (1981),May 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Magic Mike XXL,,Native 4K,,HDR,,
Malcolm X (1992),Aug 2022,Native 4K,,HDR10,Dolby Vision,DTS-HD MA 5.1
Maleficent (2014),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Maleficent: Mistress of Evil (2020),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Malignant (2021),May 2022,Native 4K,,HDR10,,DTS-HD MA 5.1
Mamma Mia (2008),Nov 2022,,Upscaled 4K,HDR,,"DTS: X, 7.1 DTS-HD MA"
Man of Steel,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Man On A Ledge,,,Upscaled 4K,HDR,,
Manchester By The Sea,,,Upscaled 4K,,,
Maniac (1980),Aug 2021,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Maniac Cop 2 (1990),Aug 2021,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Maniac Cop 3: Badge of Silence (1993),Aug 2021,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Marco Polo,,Native 4K,,HDR,,
Marnie (1964),May 2022,Native 4K,,HDR10,,DTS-HD Master Audio 2.0 Mono
Mary And The Witch’s Flower,,,Upscaled 4K,HDR,,
Mary Poppins Returns (2018),,,Upscaled 4K,HDR,,Dolby Atmos True-HD
Mary Queen Of Scots,,Native 4K,,HDR,Dolby Vision,
Mary Shelley's Frankenstein (1994),May 2022,Native 4K,,HDR10,Dolby Vision,DTS-HD MA 5.1
Master Of None,,Native 4K,,,,
Masters of Sex,,Native 4K,,,,
"Matrix Trilogy re-scanned from original camera negatives, 
except computer generated special effects)",,Native 4K,,HDR,Dolby Vision,Dolby Atmos True-HD
Mayhem,,,Upscaled 4K,HDR,,5.1
Maze Runner: The Death Cure,,,Upscaled 4K,HDR,,Dolby Atmos True-HD
Maze Runner: The Scorch Trials,,,Upscaled 4K,HDR,,7.1
Me Before You,,,Upscaled 4K,HDR,,
Mechanic: Resurrection,,,Upscaled 4K,HDR,,Dolby Atmos True-HD
Men In Black,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Men in Black 3 (2012),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Men in Black II,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Men in Black International (2019),,Native 4K,,HDR & HDR10+,,"Dolby Atmos, True-HD 7.1"
Miami Connection (1987),May 2022,Native 4K,,HDR10,,DTS-HD Master Audio 2.0
Midsommar (2019),,Native 4K,,HDR10,Dolby Vision,DTS-HD MA 5.1
Midway (2019),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Mike and Dave Need Wedding Dates,,,Upscaled 4K,HDR,,7.1
Mindhunter,,Native 4K,,HDR,,
Minions (2015),Nov 2022,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Minions: The Rise of Gru (2022),Nov 2022,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Misery (1990),Jan 2022,Native 4K,,HDR10,Dolby Vision,DTS-HD MA 5.1
Miss Peregrine’s Home for Peculiar Children,,,Upscaled 4K,HDR,,Dolby Atmos True-HD
Mission: Impossible,,Native 4K,,HDR,Dolby Vision,True-HD 5.1
Mission: Impossible - Fallout,,Native 4K,,HDR,Dolby Vision,Dolby Atmos True-HD
Mission: Impossible - Ghost Protocol,,Native 4K,,HDR,Dolby Vision,True-HD 5.1
Mission: Impossible - Rogue Nation,,,Upscaled 4K,,Dolby Vision,Dolby Atmos True-HD
Mission: Impossible II,,Native 4K,,HDR,Dolby Vision,True-HD 5.1
Mission: Impossible III,,,Upscaled 4K,HDR,Dolby Vision,True-HD 5.1
Moana,,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Mobile Suit Gundam Thunderbolt: December Sky,,Native 4K,,HDR,,
Money Monster,,,Upscaled 4K,HDR,,
Moneyball,,Native 4K,,,,
Monster Hunter (2020),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Monster Trucks,,,Upscaled 4K,HDR,,7.1
Moon (2009),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Moonfall (2022),April 2022,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Moonlight,,,Upscaled 4K,HDR,,
Morgan,,,Upscaled 4K,HDR,,
Mortal Kombat (2021),Feb 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Mortal Engines,,Native 4K,,HDR,Dolby Vision,
Mother!,,,Upscaled 4K,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Mozart In The Jungle,,Native 4K,,HDR,,
Mr. Smith Goes to Washington,,Native 4K,,,,DTS-HD Master Audio 2.0 Mono
Mrs. Doubtfire,,Native 4K,,,,
Mulan (1998),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Mulan (2020),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Murder on the Orient Express,,Native 4K,,HDR,,Dolby Atmos True-HD
Mute,,Native 4K,,HDR,,
My Fair Lady (1964),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Ne Zha (2019),Feb 2022,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Narcos,,Native 4K,,HDR,,
News of the World (2020),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Night At The Museum: The Secret Tomb,,Native 4K,,,,
Nightmare Alley (2021),May 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
No Good Deed (2002),,,Upscaled 4K,,,
No Time to Die (2021),Feb 2022,Native 4K,,HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Nobody (2021),,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Nope (2022),Nov 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Now You See Me (2013),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Now You See Me 2 (2016),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Oh! For the Love of Trains (2022),May 2022,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Oblivion,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Ocean's 8,,,Upscaled 4K,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Oceans: Our Blue Planet (2018),June 2022,Native 4K,,HDR10,,5.1 DTS-HD MA
Office Christmas Party,,,Upscaled 4K,HDR,,
Office Space,,Native 4K,,,,
Okja,,Native 4K,,HDR,,
Old (2021),Aug 2021,Native 4K,,HDR10,TBC,TBC
On The Waterfront,,Native 4K,,,,
Once Upon a Time In Hollywood (2019),,Native 4K,,HDR10,,7.1 DTS HD-MA
One Eight Seven,,Native 4K,,,,5.1
Only The Brave,,Native 4K,,HDR,,
Onward (2020),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Orphan Black: Season 1 And 2,,,Upscaled 4K,,,
Orphan Black: Season 3,,Native 4K,,,,
Our Brand is Crisis,,,Upscaled 4K,HDR,,
Overlord,,,Upscaled 4K,HDR,Dolby Vision,Dolby Atmos True-HD
Ozark,,Native 4K,,,,
Pacific Rim (2013),,,Upscaled 4K,HDR,Dolby Vision,Dolby Atmos True-HD
Pacific Rim: Uprising (2018),,,Upscaled 4K,HDR,Dolby Vision,Dolby Atmos True-HD
Paddington 2,,,Upscaled 4K,HDR,Dolby Vision,Dolby Atmos True-HD
Pan,,,Upscaled 4K,HDR,,
Pan's Labyrinth (2006),,,Upscaled 4K,HDR10,,Spanish: DTS-HD MA 5.1
Pandas,,Native 4K,,HDR,,
Panic Room,,Native 4K,,HDR,,
Parsite (2019),,Native 4K,,HDR10+,,"Dolby Atmos, True-HD 7.1"
Passengers (2016),,Native 4K,,HDR10,,
Patriot Games (1992),,Native 4K,,HDR10,Dolby Vision,True-HD 5.1
Patriots Day,,,Upscaled 4K,HDR,,"DTS: X, 7.1 DTS-HD MA"
Peanuts Holiday Collection,,Native 4K,,HDR,,
Pee Wee’s Big Holiday,,Native 4K,,,,
Perdita Durango | Dance with the Devil (1997),,Native 4K,,HDR10,,5.1 DTS-HD-MA
Perfume: The Story Of A Murderer,,,Upscaled 4K,HDR,,
Pet Sematary (1989),,Native 4K,,HDR,Dolby Vision,5.1 DTS-HD-MA
Pet Sematary (2019),,,Upscaled 4K,HDR & HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Peter Rabbit (2018),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Peter Rabbit 2 (2021),Feb 2022,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Phantom Thread,,Native 4K,,HDR,,"DTS: X, 7.1 DTS-HD MA"
Phenomena (1985),Jan 2022,Native 4K,,HDR,Dolby Vision,5.1 DTS-HD-MA
Philadelphia,,,Upscaled 4K,,,
Philip K. Dick’s Electric Dreams,,Native 4K,,HDR,,
Pineapple Express,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Pirates of the Caribbean: Dead Men Tell No Tales,,,Upscaled 4K,HDR,,
Pirates of the Caribbean: The Curse of the Black Pearl,May 2022,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Pitch Black (2000),,Native 4K,,HDR10,Dolby Vision,5.1 DTS-HD-MA
Pitch Perfect,,,Upscaled 4K,HDR,,
Pitch Perfect 2,,,Upscaled 4K,HDR,,
Pitch Perfect 3,,,Upscaled 4K,HDR,,
Pixels,,,Upscaled 4K,,,
"Planes, Trains & Automobiles (1987)",Aug 2022,Native 4K,,HDR10,Dolby Vision,5.1 DTS-HD-MA
Planet Earth,,Native 4K,,HDR,,
Planet Earth II,,Native 4K,,HDR,,5.1 DTS-HD-MA
Planet Of The Apes,,,Upscaled 4K,HDR,,
Point Break (2015),,,Upscaled 4K,HDR,,
Pokemon Detective Pikachu (2019),,,Upscaled 4K,HDR10,,Dolby Atmos True-HD
Poltergeist (2015),,,Upscaled 4K,HDR,,
Possessor (2020),,Native 4K,,HDR10,,5.1 DTS-HD-MA
Power Rangers,,Native 4K,,HDR,Dolby Vision,Dolby Atmos True-HD
Predator (1987),,Native 4K,,HDR,,5.1 DTS-HD-MA
Predator 2 (1990),,Native 4K,,HDR,,5.1 DTS-HD-MA
Predators (2010),,,Upscaled 4K,HDR,,5.1 DTS-HD-MA
Premium Rush,,Native 4K,,,,
Pride And Prejudice And Zombies,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Prince of Darkness (1987),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Prisoners of the Ghostland (2020),Feb 2022,,Upscaled 4K,HDR10,,5.1 DTS-HD-MA
Prometheus,,,Upscaled 4K,HDR,,7.1 DTS HD-MA
Proud Mary,,Native 4K,,,,
Psycho (1954) - Alfred Hitchcock,,Native 4K,,HDR10,,"DTS:X, DTS-HD MA 7.1"
Puccini: Tosca,,,Upscaled 4K,,,
Punisher,,,Upscaled 4K,HDR,,
Pulp Fiction (1994),Aug 2022,Native 4K,,HDR10,,
Puppet Master: The Littlest Reich,,,Upscaled 4K,,,
Push,,,Upscaled 4K,HDR,Dolby Vision,
Quantum of Solace (2008),,,Upscaled 4K,HDR,Dolby Vision,5.1 DTS-HD-MA
Queen & Slim (2019),Feb 2022,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Quiet Days in Clichy (1970),Aug 2022,Native 4K,,HDR10,Dolby Vision,DTS-HD MA Mono
Raiders of the Lost Ark (1981),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Ralph Breaks The Internet,,,Upscaled 4K,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Rambo (2008),,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Rambo III (1988),,Native 4K,,HDR,,5.1 DTS-HD-MA
Rambo: First Blood Part II (1985),,Native 4K,,HDR,,5.1 DTS-HD-MA
Rambo: Last Blood (2019),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Rampage,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Ratatouille (2007),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Raya and the Last Dragon (2021),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Ready Player One (2018),,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Rear Window (1954) - Alfred Hitchcock,,Native 4K,,HDR10,,DTS-HD MA 2.0
Red,,,Upscaled 4K,HDR,,7.1
Red 2,,,Upscaled 4K,HDR,,7.1
Red Dawn (1984),Aug 2022,Native 4K,,HDR10,Dolby Vision,5.1 DTS-HD-MA
Red Heat,,Native 4K,,HDR10,Dolby Vision,TBC
Red Oaks,,Native 4K,,HDR,,
Red Sparrow,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Reign of the Superman (2019),Feb 2022,,Upscaled 4K,HDR10,,5.1 DTS-HD-MA
Reminiscence (2021),Jan 2022,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Requiem for a Dream (2000),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Reservoir Dogs (1992),Aug 2022,Native 4K,,HDR10,,
Resident Evil: Afterlife,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Resident Evil: Welcome to Raccoon City (2021),May 2022,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Rise of the Planet of the Apes (2011),,,Upscaled 4K,HDR,,5.1 DTS-HD-MA
Risen,,,Upscaled 4K,HDR,,7.1
River Runs Red,,,Upscaled 4K,HDR,,
Robin Hood (2018),,Native 4K,,HDR & HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
RoboCop (1987),Jan 2022,Native 4K,,HDR & HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Rocketman (2019),,Native 4K,,HDR & HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
"Roman J. Israel, Esq",,,Upscaled 4K,HDR,,
Ron's Gone Wrong (2021),Feb 2022,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Room,,Native 4K,,,,5.1
Rough Night,,,Upscaled 4K,HDR,,7.1
Run All Night,,,Upscaled 4K,HDR,,
Saboteur (1942),May 2022,Native 4K,,HDR10,,DTS-HD MA 2.0 Mono
Salt,,Native 4K,,HDR,,7.1
San Andreas,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Santa Clarita Diet,,Native 4K,,HDR,,
Santa Sangre (1989),,Native 4K,,,,5.1 DTS-HD-MA
Sausage Party,,,Upscaled 4K,HDR,,Dolby Atmos True-HD
Savage Pampas,,Native 4K,,HDR,,
Saving Private Ryan (1998),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Say Anything,,Native 4K,,,,
Scanner Cop (1994),May 2022,Native 4K,,HDR10,,DTS-HD Master Audio 2.0
Scanner Cop II (1995),May 2022,Native 4K,,HDR10,,DTS-HD Master Audio 2.0
Scarface (1983),,Native 4K,,HDR10,,DTS-HD-MA 7.1
Scary Stories to Tell in the Dark (2019),,,Upscaled 4K,HDR10,Dolby Vision,Dolby True-HD 5.1
Schindlers List,,Native 4K,,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Schizoid (1980),May 2022,Native 4K,,HDR10,,DTS-HD MA 2.0 Mono
Scoob! (2020),,,Upscaled 4K,HDR10+,,5.1 DTS-HD-MA
Scott Pilgrim Vs The World,,,Upscaled 4K,,,
Scream (1996),Aug 2021,Native 4K,,HDR10,,5.1 DTS-HD-MA
Sense and Sensibility,,Native 4K,,,,
Serenity (2005),,,Upscaled 4K,HDR10,,"DTS:X, DTS-HD MA 7.1"
SexWorld (1978),,Native 4K,,HDR10,,DTS-HD Master Audio 2.0 Mono
Shadow (2018),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Shadow of a Doubt (1943),April 2022,Native 4K,,HDR10,,DTS-HD Master Audio 2.0 Mono
Shang-Chi and the Legend of the Ten Rings (2021),Feb 2022,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Shaun Of The Dead,,,Upscaled 4K,HDR10+,,"DTS:X, DTS-HD MA 7.1"
Shazam (2019),,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Sherlock Holmes (2009),,,Upscaled 4K,HDR10,,5.1 DTS-HD-MA
Sherlock Holmes: A Game of Shadows (2011),,,Upscaled 4K,HDR10,,5.1 DTS-HD-MA
Shin Godzilla,,,Upscaled 4K,HDR,,
Shooter (2007),Jan 2022,,Upscaled 4K,HDR10,Dolby Vision,5.1 DTS-HD-MA
Shutter Island (2010),,,Upscaled 4K,HDR,Dolby Vision,5.1 DTS-HD-MA
Sicario,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Sicario 2: Soldado,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Sing (2016),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Sing 2 (2021),April 2022,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Singin' in the Rain (1952),May 2022,Native 4K,,HDR10,,5.1 DTS-HD-MA
Skyfall (2012),,Native 4K,,HDR10,Dolby Vision,5.1 DTS-HD-MA
Skyscraper (2018),,,Upscaled 4K,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Smokin' Aces (2006),May 2022,,Upscaled 4K,HDR10,,"DTS:X, DTS-HD MA 7.1"
Smurfs: The Lost Village,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Snake Eyes: G.I. Joe Origins (2021),Feb 2022,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Snitch,,,Upscaled 4K,HDR,,7.1
Snow White And The Huntsman,,,Upscaled 4K,HDR,,
Some Like It Hot (1959),May 2022,Native 4K,,HDR10,Dolby Vision,DTS-HD MA 2.0 Mono
Song to Song,,Native 4K inpart,,HDR,,"Dolby Atmos, True-HD 7.1"
Sonic the Hedgehog (2020),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Soul (2020),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Source Code (2011),,,Upscaled 4K,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Space Adventure Cobre,,Native 4K,,HDR10,Dolby Vision,TBC
Space Jam (1996),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Space Station (2002),,Native 4K,,HDR10,,"DTS:X, DTS-HD MA 7.1"
Spaceballs (1987),,Native 4K,,HDR10,,5.1 DTS-HD-MA
Spartacus (1960),,Native 4K,,HDR10,Dolby Vision,"DTS:X, DTS-HD MA 7.1"
Spectre (2015),,Native 4K,,HDR10,Dolby Vision,7.1 DTS-HD-MA
Speed (1994),,Native 4K,,HDR10,,5.1 DTS-HD-MA
Spider-Man,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Spider-Man 2,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Spider-Man 3,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Spider-Man: Far from Home (2019),,,Upscaled 4K,HDR & HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Spider-Man: Homecoming,,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Spider-Man: Into the Spider-Verse (2018),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Spider-Man: No Way Home (2021),April 2022,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Spies in Disguise (2020),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Spiral: From the Book of Saw (2021),Feb 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Split (2017),,,Upscaled 4K,HDR,,5.1 DTS-HD-MA
Spy,,,Upscaled 4K,HDR,,
Stand by Me,,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Star Trek (2009),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Star Trek Beyond (2013),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Star Trek II: The Wrath of Khan (1982),,Native 4K,,HDR,,
Star Trek into Darkness (2016),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
